"source","target","strength"
"David Koepp","Olivia Munn",1
"David Koepp","Timothy Hutton",1
"David Koepp","Ulrich Thomsen",1
"David Lean","Art Malik",1
"David Lean","Claude Rains",1
"David Lean","Geraldine Chaplin",1
"David Lean","Jack Hawkins",2
"David Lean","Jos̩ Ferrer",1
"David Lean","Judy Davis",1
"David Lean","Julie Christie",1
"David Lean","Klaus Kinski",1
"David Lean","Richard Wilson",1
"David Lean","Sessue Hayakawa",1
"David Lean","William Holden",1
"David O. Russell","Beverly D'Angelo",1
"David O. Russell","Bradley Cooper",3
"David O. Russell","Christian Bale",2
"David O. Russell","David Patrick Kelly",1
"David O. Russell","Isabelle Huppert",1
"David O. Russell","Jack McGee",1
"David O. Russell","Jake Gyllenhaal",1
"David O. Russell","Jamie Kennedy",1
"David O. Russell","Jennifer Lawrence",3
"David O. Russell","Judy Greer",1
"David O. Russell","Kirstie Alley",1
"David O. Russell","Lily Tomlin",2
"David O. Russell","Mary Tyler Moore",1
"David O. Russell","Melissa McMeekin",1
"David O. Russell","Mykelti Williamson",1
"David O. Russell","Naomi Watts",1
"David O. Russell","Robert De Niro",2
"David Twohy","Alexa Davalos",1
"David Twohy","Bokeem Woodbine",1
"David Twohy","Chris Hemsworth",1
"David Twohy","Christina Cox",1
"David Twohy","Cole Hauser",1
"David Twohy","Marley Shelton",1
"David Twohy","Milla Jovovich",1
"David Twohy","Nolan Gerard Funk",1
"David Twohy","Radha Mitchell",1
"David Twohy","Vin Diesel",3
"David Wain","Amy Poehler",1
"David Wain","Bobb'e J. Thompson",1
"David Wain","Christopher Meloni",1
"David Wain","Jack McBrayer",1
"David Wain","Joe Lo Truglio",2
"David Wain","Jon Hamm",1
"David Wain","Justin Theroux",1
"David Wain","Ken Marino",2
"David Wain","Lauren Ambrose",1
"David Wain","Ron Silver",1
"David Yates","Alan Rickman",1
"David Yates","Alexander Skarsg̴rd",1
"David Yates","Casper Crump",1
"David Yates","Christoph Waltz",1
"David Yates","Daniel Radcliffe",2
"David Yates","Fiona Shaw",1
"David Yates","Robert Pattinson",1
"David Yates","Rupert Grint",1
"David Zucker","Beau Mirchoff",1
"David Zucker","Carmen Electra",2
"David Zucker","Chriss Anglin",1
"David Zucker","Gary Coleman",1
"David Zucker","Geoffrey Arend",1
"David Zucker","George Kennedy",1
"David Zucker","Jenny McCarthy",1
"David Zucker","Molly Shannon",1
"David Zucker","O.J. Simpson",1
"David Zucker","Pamela Anderson",1
"David Zucker","Priscilla Presley",1
"David Zucker","Regina Hall",2
"David Zucker","Tyler Labine",1
"Dean DeBlois","America Ferrera",2
"Dean DeBlois","Craig Ferguson",1
"Dean DeBlois","David Ogden Stiers",1
"Dean DeBlois","Djimon Hounsou",1
"Dean DeBlois","Gerard Butler",2
"Dean DeBlois","Jason Scott Lee",1
"Dean DeBlois","Tia Carrere",1
"Dennis Dugan","Adam Sandler",5
"Dennis Dugan","Al Pacino",1
"Dennis Dugan","Amanda Detmer",1
"Dennis Dugan","Frances Bay",1
"Dennis Dugan","Joey Lauren Adams (Ac)",1
"Dennis Dugan","Jon Heder",1
"Dennis Dugan","Jon Lovitz",2
"Dennis Dugan","Kevin Nealon",1
"Dennis Dugan","Kyle Gass",1
"Dennis Dugan","Neil Diamond",1
"Dennis Dugan","Salma Hayek",1
"Dennis Dugan","Steve Buscemi (Ac)",3
"Dennis Dugan","Tim Meadows",2
"Denzel Washington","Denzel Washington (Ac)",2
"Denzel Washington","Derek Luke",1
"Denzel Washington","John Heard",1
"Denzel Washington","Jurnee Smollett-Bell",1
"Denzel Washington","Kevin Connolly",1
"Derek Cianfrance","Angelo Anthony Pizza",1
"Derek Cianfrance","Ben Mendelsohn",1
"Derek Cianfrance","John Doman",1
"Derek Cianfrance","Mike Vogel",1
"Derek Cianfrance","Ryan Gosling",2
"Edward Burns","Caitlin FitzGerald",1
"Edward Burns","Daniella Pineda",1
"Edward Burns","Debra Messing",1
"Edward Burns","Frank Vincent",1
"Edward Burns","John Mahoney",1
"Edward Burns","Kerry Bish̩",1
"Edward Burns","Maxine Bahns",1
"Edward Burns","Michael McGlone",2
"Edward Burns","Peter Jacobson",1
"Edward Burns","Rosemarie DeWitt",1
"Edward Burns","Shari Albert",1
"Edward Zwick","Anthony Hopkins",1
"Edward Zwick","Brad Pitt",1
"Edward Zwick","Bruce Willis",1
"Edward Zwick","Chad Lindberg",1
"Edward Zwick","Denzel Washington (Ac)",3
"Edward Zwick","Djimon Hounsou",1
"Edward Zwick","Julia Ormond",1
"Edward Zwick","Leonardo DiCaprio",1
"Edward Zwick","Mark Valley",1
"Edward Zwick","Matt Damon",1
"Edward Zwick","Matthew Broderick",1
"Edward Zwick","Morgan Freeman",1
"Edward Zwick","Scott Glenn",1
"Edward Zwick","Stephen Collins",1
"Edward Zwick","Tom Cruise",1
"Edward Zwick","Tony Goldwyn (Ac)",1
"Eli Roth","Daryl Sabara",1
"Eli Roth","Jay Hernandez",2
"Eli Roth","Lauren German",1
"Eli Roth","Magda Apanowicz",1
"Eli Roth","Richard Burgi",1
"Eli Roth","Rick Hoffman",1
"Eli Roth","Stanislav Ianevski",1
"Eli Roth","Takashi Miike",1
"Elia Kazan","Celeste Holm",1
"Elia Kazan","Dean Stockwell",1
"Elia Kazan","John Garfield",1
"Elia Kazan","Karl Malden",2
"Elia Kazan","Kim Hunter",1
"Elia Kazan","Marlon Brando",2
"Elia Kazan","Rod Steiger",1
"Eric Darnell","Andy Richter",2
"Eric Darnell","Anne Bancroft",1
"Eric Darnell","Annet Mahendru",1
"Eric Darnell","Benedict Cumberbatch",1
"Eric Darnell","Bernie Mac",1
"Eric Darnell","Cedric the Entertainer",3
"Eric Darnell","Jada Pinkett Smith",3
"Eric Darnell","Martin Short",1
"Eric Darnell","Sylvester Stallone (Ac)",1
"Eric Darnell","Woody Allen (Ac)",1
"Ethan Coen","Alden Ehrenreich",1
"Ethan Coen","Alex Karpovsky",1
"Ethan Coen","Barry Corbin",1
"Ethan Coen","Brad Pitt",1
"Ethan Coen","Bruce Green",1
"Ethan Coen","Channing Tatum",1
"Ethan Coen","Fred Melamed",1
"Ethan Coen","J.K. Simmons",2
"Ethan Coen","Jeff Bridges",1
"Ethan Coen","Justin Timberlake",1
"Ethan Coen","Kelly Macdonald",1
"Ethan Coen","Kevin Sussman",1
"Ethan Coen","Matt Damon",1
"Ethan Coen","Max Casella",1
"Ethan Coen","Michael Stuhlbarg",1
"Ethan Coen","Peter Breitmayer",1
"Ethan Coen","Scarlett Johansson",1
"Ethan Coen","Stephen Root",2
"Ethan Coen","Tom Hanks (Ac)",1
"Francis Ford Coppola","Al Pacino",3
"Francis Ford Coppola","Alden Ehrenreich",1
"Francis Ford Coppola","Anthony Hopkins",1
"Francis Ford Coppola","Bob Hoskins",1
"Francis Ford Coppola","Bridget Fonda",1
"Francis Ford Coppola","Bruce Dern",1
"Francis Ford Coppola","Cindy Williams",1
"Francis Ford Coppola","Dean Stockwell",1
