"source","target","strength"
"Antoine Fuqua","Tom Skerritt",1
"Atom Egoyan","Alison Lohman",1
"Atom Egoyan","Bob Hoskins",1
"Atom Egoyan","Bruce Greenwood",2
"Atom Egoyan","Charles Aznavour",1
"Atom Egoyan","Colin Firth",1
"Atom Egoyan","David Alpay",1
"Atom Egoyan","Elaine Cassidy",1
"Atom Egoyan","Gerard McSorley",1
"Atom Egoyan","Liam Neeson",1
"Atom Egoyan","Marie-JosÃ©e Croze",1
"Atom Egoyan","Meghan Heffern",1
"Atom Egoyan","Mia Kirshner",1
"Atom Egoyan","Natalie Lisinska",1
"Atom Egoyan","Rachel Blanchard",1
"Atom Egoyan","Sarah Polley",2
"Atom Egoyan","Simon Baker",1
"Ava DuVernay","David Oyelowo",2
"Ava DuVernay","Lorraine Toussaint",1
"Ava DuVernay","Omari Hardwick",1
"Ava DuVernay","Oprah Winfrey",1
"Ava DuVernay","Tom Wilkinson",1
"Barry Levinson","Amy Poehler",2
"Barry Levinson","Anna Friel",1
"Barry Levinson","Ariel Gade",1
"Barry Levinson","Azura Skye",1
"Barry Levinson","Beth Grant",1
"Barry Levinson","Brad Pitt",1
"Barry Levinson","BrÃ_an F. O'Byrne",2
"Barry Levinson","Bruce Willis",1
"Barry Levinson","Bruno Kirby",1
"Barry Levinson","Daniel Stern",1
"Barry Levinson","Demi Moore",1
"Barry Levinson","Dylan Baker",1
"Barry Levinson","Ellen Barkin",1
"Barry Levinson","Freddie Jones",1
"Barry Levinson","Huey Lewis",1
"Barry Levinson","J.T. Walsh",1
"Barry Levinson","James Pickens Jr.",1
"Barry Levinson","John Michael Higgins",1
"Barry Levinson","Kirsten Dunst",1
"Barry Levinson","Kristen Stewart",1
"Barry Levinson","Minnie Driver",1
"Barry Levinson","Nicholas Rowe",1
"Barry Levinson","Pauline McLynn",1
"Barry Levinson","Peter Coyote",1
"Barry Levinson","Robert De Niro",3
"Barry Levinson","Robin Williams",2
"Barry Levinson","Robin Wright",1
"Barry Levinson","Roger Ashton-Griffiths",1
"Barry Levinson","Roma Maffia",1
"Barry Levinson","Sam Lerner",1
"Barry Levinson","Steve Guttenberg",1
"Barry Levinson","Tina Fey",1
"Barry Levinson","Tom Cruise",1
"Barry Levinson","Valeria Golino",1
"Barry Sonnenfeld","Anjelica Huston",1
"Barry Sonnenfeld","Bai Ling",1
"Barry Sonnenfeld","Carel Struycken",1
"Barry Sonnenfeld","Delroy Lindo",1
"Barry Sonnenfeld","Janeane Garofalo",1
"Barry Sonnenfeld","Jon Gries",1
"Barry Sonnenfeld","Linda Fiorentino",1
"Barry Sonnenfeld","Michael Stuhlbarg",1
"Barry Sonnenfeld","Nicole Scherzinger",1
"Barry Sonnenfeld","Omar Epps",1
"Barry Sonnenfeld","Raul Julia",1
"Barry Sonnenfeld","Rene Russo",1
"Barry Sonnenfeld","Rip Torn",1
"Barry Sonnenfeld","Salma Hayek",1
"Barry Sonnenfeld","Will Smith",3
"Barry Sonnenfeld","Zooey Deschanel",1
