"id","movie_count","type"
"Joel McHale",3,"Actor"
"Joely Richardson",5,"Actor"
"Joey Lauren Adams (Ac)",5,"Actor"
"John Beck",1,"Actor"
"John Belushi",2,"Actor"
"John D'Leo",1,"Actor"
"John Doman",4,"Actor"
"John Hillerman",1,"Actor"
"John Lasseter",5,"Director"
"John Ratzenberger",10,"Actor"
"John Savage",5,"Actor"
"Johnny Cannizzaro",1,"Actor"
"Johnny Depp",35,"Actor"
"Joie Lee",1,"Actor"
"Jon Favreau (Ac)",18,"Actor"
"Jon Heder",7,"Actor"
"Jon Lovitz",13,"Actor"
"Jon Polito",3,"Actor"
"Jordana Brewster",5,"Actor"
"Jorja Fox",1,"Actor"
"Joseph Gordon-Levitt (Ac)",15,"Actor"
"Joseph Sikora",2,"Actor"
"Judd Hirsch",4,"Actor"
"Judge Reinhold",7,"Actor"
"Judy Davis",5,"Actor"
"Julia Roberts",27,"Actor"
"Julian Glover",5,"Actor"
"Julie Kavner",3,"Actor"
"Kaitlyn Dever",1,"Actor"
"Karen Allen",4,"Actor"
"Kassie Wesley DePaiva",1,"Actor"
"Kate Capshaw",2,"Actor"
"Kathleen Quinlan",6,"Actor"
"Kazunari Ninomiya",1,"Actor"
"Keir O'Donnell",1,"Actor"
"Keith Richards",1,"Actor"
"Kelly Preston",10,"Actor"
"Kenneth Colley",1,"Actor"
"Kevin Dunn",8,"Actor"
"Kevin McNally",7,"Actor"
"Kevin Nealon",3,"Actor"
"Kevin Pollak",8,"Actor"
"Kevin Smith",12,"Director"
"Kevin Spacey (Ac)",21,"Actor"
"Kirsten Dunst",22,"Actor"
"Kurt Fuller",6,"Actor"
"Kyle Gass",1,"Actor"
"Larry David",4,"Actor"
"Laz Alonso",7,"Actor"
"Leleti Khumalo",1,"Actor"
"Leo Howard",2,"Actor"
"Leon Rippy",1,"Actor"
"Leonard Roberts",3,"Actor"
"Leonardo DiCaprio",20,"Actor"
"Leslie Bibb",8,"Actor"
"Levon Helm",2,"Actor"
"Liam Neeson",28,"Actor"
"Lili Taylor",8,"Actor"
"Lisa Ann Walter",5,"Actor"
"Lisa Bonet",2,"Actor"
"Liza Minnelli",3,"Actor"
"Logan Lerman",11,"Actor"
"Louise Lasser",2,"Actor"
"Lukas Haas",5,"Actor"
"Lumi Cavazos",1,"Actor"
"Lynn Cohen",4,"Actor"
"Mackenzie Crook",4,"Actor"
"Mackenzie Foy",3,"Actor"
"Madeline Kahn",6,"Actor"
"Mark Gatiss",2,"Actor"
"Mark Margolis",11,"Actor"
"Mark Rylance",3,"Actor"
"Marko Zaror",1,"Actor"
"Martin Landau",12,"Actor"
"Martin Scorsese",18,"Director"
"Martin Short",7,"Actor"
"Mary Elizabeth Mastrantonio",5,"Actor"
"Mary Kay Place",5,"Actor"
"Mathieu Amalric",2,"Actor"
"Matt Damon",35,"Actor"
"Matthew Gray Gubler",2,"Actor"
"Matthew McConaughey",25,"Actor"
"Maura Tierney",6,"Actor"
"Max Ryan",5,"Actor"
"Mel Brooks",6,"Director"
"Melanie Griffith",5,"Actor"
"Melinda Dillon",2,"Actor"
"Meryl Streep",25,"Actor"
"Mews Small",1,"Actor"
"Mia Farrow",3,"Actor"
"Michael Angarano",12,"Actor"
"Michael Chernus",2,"Actor"
"Michael Gough",5,"Actor"
"Michael Imperioli",4,"Actor"
"Michael Jeter",7,"Actor"
"Michael Kelly",10,"Actor"
"Michael McKean",8,"Actor"
"Michael Moore",6,"Director"
"Michael Moore (Ac)",6,"Actor"
"Michael Parks",1,"Actor"
"Michael Rapaport",16,"Actor"
"Michael Rispoli",5,"Actor"
"Michael Winslow",3,"Actor"
"Mick Jagger",1,"Actor"
"Mike Colter",2,"Actor"
"Mike Starr",13,"Actor"
"Miko Hughes",4,"Actor"
"Mila Kunis",13,"Actor"
"Milla Jovovich",18,"Actor"
"Mira Sorvino",4,"Actor"
"Mo'Nique",7,"Actor"
"Molly Shannon",6,"Actor"
"Morgan Freeman",41,"Actor"
"Moritz Bleibtreu",2,"Actor"
"Murray Hamilton",3,"Actor"
"Naomi Watts",18,"Actor"
"Natalie Portman",16,"Actor"
"Natasha Lyonne",11,"Actor"
"Neil Diamond",1,"Actor"
"Nellie Sciutto",1,"Actor"
"Nicholas Turturro",4,"Actor"
"Nicolas Cage",31,"Actor"
"Nina Arianda",2,"Actor"
"Oksana Akinshina",1,"Actor"
"Oliver Platt",19,"Actor"
"Olivia Wilde",13,"Actor"
"Olivia Williams",10,"Actor"
"Omari Hardwick",5,"Actor"
"Oprah Winfrey",6,"Actor"
"Orlando Bloom",11,"Actor"
"Ornella Muti",1,"Actor"
"Osama bin Laden",1,"Actor"
"Ossie Davis (Ac)",3,"Actor"
"Paddy Considine",6,"Actor"
"Pat Boone",1,"Actor"
"Pat Hingle",1,"Actor"
